Zipcode,Median Income,population
78006,73417,27558
78007,0,151
78008,63286,345
78009,63361,7255
78010,45500,3386
78011,27941,2082
78012,36534,436
78013,49533,5930
78014,26179,4987
78015,118306,9602
78016,47306,9630
78017,38789,4787
78019,26232,1855
78021,0,126
78022,43924,4627
78023,106014,24334
78024,50288,1436
78025,41547,4956
78026,47820,5861
78027,98333,459
78028,43343,37620
78029,0,0
78039,50625,1657
78040,23199,42083
78041,42178,44153
78042,0,0
78043,32188,42713
78044,38636,648
78045,63938,54713
78046,34399,64548
78049,0,0
78050,26610,767
78052,58869,6388
78054,0,0
78055,47464,1774
78056,98102,1917
78057,44189,871
78058,42500,1256
78059,51652,5387
78060,0,37
78061,33838,11031
78062,0,0
78063,55000,9227
78064,55417,14102
78065,43750,10831
78066,63583,591
78067,26641,916
78069,37560,5137
78070,75805,14618
78071,51852,4248
78072,42083,505
78073,46191,8171
78074,0,0
78075,27222,123
78076,32222,12612
78101,64878,7898
78102,42951,27593
78104,70500,175
78107,34219,360
78108,83743,27770
78109,63942,34603
78111,0,0
78112,46974,7941
78113,60988,2435
78114,58024,20103
78115,0,0
78116,70357,390
78117,84643,545
78118,40385,3976
78119,38527,7680
78121,83892,11381
78122,30610,418
78123,62417,2397
78124,52337,5609
78125,46250,96
78130,54672,59546
78131,0,0
78132,82917,19139
78133,59710,16269
78135,0,0
78140,31793,3380
78141,38304,596
78142,50417,119
78143,14957,85
78144,0,45
78145,27500,103
78146,59205,771
78147,57931,1919
78148,54691,20139
78150,0,11
78151,34183,1347
78152,74131,2294
78154,71432,30347
78155,49399,45341
78156,0,0
78159,31630,1023
78160,52059,4273
78161,56750,864
78162,44583,375
78163,92560,9838
78164,45737,3796
78201,35282,45307
78202,24369,11691
78203,24846,6099
78204,30800,11125
78205,25903,1453
78206,0,0
78207,22605,55514
78208,22866,3736
78209,62525,39197
78210,32676,36865
78211,32985,31944
78212,36613,28415
78213,40727,40396
78214,27222,23341
78215,34836,1150
78216,41792,40267
78217,45224,32165
78218,38812,31917
78219,38512,15225
78220,30605,15965
78221,38036,35990
78222,46000,19408
78223,37019,50637
78224,40028,17601
78225,32234,13025
78226,27936,6648
78227,36980,46077
78228,34992,58811
78229,35344,28804
78230,55936,39089
78231,83696,7906
78232,64741,35120
78233,54399,43710
78234,59665,7126
78235,48281,357
78236,60250,10392
78237,26702,36929
78238,44005,23514
78239,53868,28736
78240,48281,51111
78241,0,0
78242,35451,31395
78243,0,235
78244,56946,30757
78245,59785,56511
78246,0,0
78247,65921,49176
78248,105987,13638
78249,70689,49951
78250,60726,54903
78251,62482,49435
78252,44143,7372
78253,85508,29007
78254,76649,44817
78255,111307,10826
78256,69649,6855
78257,112202,3950
78258,107479,40586
78259,98669,22660
78260,106182,24844
78261,98729,13513
78262,0,0
78263,76118,4673
78264,43200,12339
78265,0,0
78266,105536,5591
78268,0,0
78269,0,0
78270,0,0
78275,0,0
78278,0,0
78279,0,0
78280,0,0
78283,0,0
78284,0,0
78285,0,0
78286,0,0
78287,0,0
78288,0,0
78289,0,0
78291,0,0
78292,0,0
78293,0,0
78294,0,0
78295,0,0
78296,0,0
78297,0,0
78298,0,0
78299,0,0
78330,53500,878
78332,39114,28710
78333,0,0
78335,0,4
78336,39705,11949
78338,0,37
78339,36553,632
78340,45114,379
78341,41644,1760
78342,41210,386
78343,42875,4525
